Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,1.125.006.757,Pengembangan
VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan
AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan
ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,6.199.577.693,Pengembangan
DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan
SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.284.500.000,Pengembangan
BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan
SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,800.000.000,Akselerasi
PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,2.742.123.779,Pengembangan
GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,19.486.760.000,Utama
ISEA,Indo American Seafoods Tbk.,08 Jul 2024,1.390.013.370,Pengembangan
BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan
GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,2.500.000.000,Pengembangan
LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,3.950.000.000,Pengembangan
DOSS,Global Sukses Digital Tbk.,07 Agt 2024,1.725.000.000,Pengembangan
NEST,Esta Indonesia Tbk.,08 Agt 2024,4.112.500.000,Pengembangan
PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pemantauan Khusus
VERN,Verona Indah Pictures Tbk.,08 Okt 2024,4.765.648.183,Pengembangan
DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama
BOAT,Newport Marine Services Tbk.,12 Nov 2024,3.501.680.000,Pengembangan
NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.327.303.368,Pengembangan
AADI,Adaro Andalan Indonesia Tbk.,05 Des 2024,7.786.891.760,Utama
MDIY,Daya Intiguna Yasa Tbk.,19 Des 2024,25.190.392.000,Utama
KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan
RATU,Raharja Energi Cepu Tbk.,08 Jan 2025,2.715.053.800,Pengembangan
YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.424.687.500,Pengembangan
HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan
BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,971.537.026,Pengembangan
DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama
CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama
OBAT,Brigit Biofarmaka Teknologi Tb,13 Jan 2025,628.109.507,Pengembangan
MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Utama
ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan
PSAT,Pancaran Samudera Transport Tb,08 Jul 2025,1.482.353.000,Utama
COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan
CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan
BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama
MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,1.035.132.500,Pengembangan
CHEK,Diastika Biotekindo Tbk.,10 Jul 2025,4.113.331.485,Pengembangan
PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,5.800.000.000,Pengembangan
EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,16.180.232.675,Pengembangan
PJHB,Pelayaran Jaya Hidup Baru Tbk.,06 Nov 2025,1.920.000.000,Pengembangan
RLCO,Abadi Lestari Indonesia Tbk.,08 Des 2025,3.125.000.000,Pemantauan Khusus
SUPA,Super Bank Indonesia Tbk.,17 Des 2025,33.558.047.450,Pengembangan
KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,2.075.800.000,Pengembangan
YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,8.544.488.700,Utama
FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,8.918.359.270,Pengembangan
MDLA,Medela Potentia Tbk.,15 Apr 2025,14.012.825.000,Utama
DKHH,Cipta Sarana Medika Tbk.,08 Mei 2025,2.550.080.491,Pengembangan
AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,853.423.236,Pemantauan Khusus
DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pengembangan
ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,681.823.317,Pengembangan
ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,2.425.354.179,Pemantauan Khusus
BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,3.440.455.528,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,33.250.000.000,Pemantauan Khusus
PIPA,Multi Makmur Lemindo Tbk.,10 Apr 2023,3.426.097.190,Pengembangan
NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Utama
MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,1.434.052.006,Akselerasi
AWAN,Era Digital Media Tbk.,18 Apr 2023,3.435.000.000,Pengembangan
MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama
RAAM,Tripar Multivision Plus Tbk.,08 Mei 2023,6.813.620.000,Utama
DOOH,Era Media Sejahtera Tbk.,08 Mei 2023,7.738.891.036,Pemantauan Khusus
CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.209.656,Pengembangan
MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.516.196,Akselerasi
WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,5.308.549.015,Pengembangan
FAPA,FAP Agri Tbk.,04 Jan 2021,3.629.411.800,Pengembangan
DCII,DCI Indonesia Tbk.,06 Jan 2021,2.383.745.900,Pengembangan
KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan
DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,1.250.000.000,Pengembangan
UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,2.898.261.693,Pengembangan
ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.235.803.109,Pengembangan
ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
ADRO,Alamtri Resources Indonesia Tb,16 Jul 2008,29.389.689.400,Utama
AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pengembangan
